Time,Blood glucose concentration in mg/dl,Glucose absorbed into the gut,Interstitial insulin concentration,Plasma insulin,Subcutaneous insulin concentration,Hardware basal insulin infusion
0,80,0,0,0,0,0
1,79.735028454848,3.22714578493009e-05,2.13893484044241e-07,4.91638865920222,0.0282449668165122,0
2,79.5103911137281,0.000124882536791908,1.66084717011645e-06,9.83871923511569,0.056453633800557,0
3,79.3259706382636,0.000270643049114335,5.40117235854609e-06,14.7660877724573,0.0844596306953323,1000
4,79.1816405844928,0.000463190873631365,1.23260975263211e-05,19.6970217728693,0.112327021845795,0
5,79.0772610354391,0.000696119517969125,2.31674249878503e-05,24.6295109894387,0.140007451986479,0
6,79.0126744961409,0.000963538929933914,3.84978546326981e-05,29.5610382429406,0.167660945544649,0
7,78.9877020430402,0.00131766403765324,5.91861346578668e-05,34.4886102472721,0.22646401733953,0
8,79.0021396901967,0.0016637942816052,8.61897071420014e-05,39.40878842837,0.224210662717171,0
9,79.0557551535253,0.0019664326827997,0.000118482476362869,44.3177197179891,0.221979729347926,0
10,79.1482848377841,0.00223063592718322,0.000155055304321886,49.2111673007637,0.219770994136599,0
11,79.279431011751,0.00246087069057701,0.000195031817444202,54.0845412906282,0.217584236207829,0
12,79.4488592396771,0.00266108270605228,0.000237652329114439,58.9329293100827,0.215419236884001,0
13,79.6561960679127,0.00283475773680756,0.000282259665179146,63.7511269436634,0.213275779663378,0
14,79.9010269643867,0.00298497540354086,0.000328286668662612,68.5336680349459,0.211153650198452,0
15,80.1828945084023,0.00311445670403815,0.000375245186200756,73.2748547945866,0.209052636274507,0
16,80.5012968279728,0.00322560596447582,0.000422716361876218,77.9687876852686,0.206972527788401,0
17,80.8556862816724,0.00332054787522804,0.000470342084597584,82.6093950479738,0.204913116727551,0
18,81.2454683817155,0.00340116018742997,0.000517817453225806,87.1904624327385,0.202874197149136,0
19,81.6700009547042,0.00346910257898269,0.000564884139592559,91.7056615959752,0.200855565159498,0
20,82.1285935362028,0.00352584213904293,0.000611324543627172,96.1485791255524,0.198857018893756,0
21,82.6205069950115,0.0035726758673911,0.000656956647229862,100.512744654108,0.196878358495619,0
22,83.1449533827174,0.00361075053859524,0.000701629484493164,104.791658620544,0.194919386097396,0
23,83.7010960038054,0.0036410802398618,0.000745219155551322,108.978819539289,0.192979905800217,0
24,84.2880497013135,0.00366456185524837,0.000787625319879947,113.067750736742,0.191059723654435,0
25,84.9048813527172,0.00368198873694369,0.000828768112408583,117.052026514275,0.189158647640236,0
26,85.5506105704324,0.00369406277609944,0.00086858543246447,120.925297697365,0.187276487648433,0
27,86.2242106010286,0.00370140506078612,0.000907030561440501,124.6813165307,0.185413055461459,0
28,86.924609416954,0.00370456528665459,0.000944070070265771,128.313960879619,0.183568164734543,0
29,87.6506909942893,0.00370403006647194,0.000979681982334001,131.817257698849,0.181741630977074,0
30,88.4012967697637,0.00370023026756422,0.00101385416158487,135.185405730311,0.179933271534155,0
31,89.1752272699991,0.00369354749107153,0.00104658289899896,138.412797392684,0.178142905568334,0
32,89.9712439056805,0.00368431979356721,0.00107787167391408,141.494039826485,0.176370354041523,0
33,90.7880709231004,0.00367284673980539,0.00110773006934854,144.423975059654,0.174615439697091,0
34,91.6243975052819,0.0036593938649554,0.00113617282296831,147.197699259941,0.172877987042143,0
35,92.4788800146525,0.00364419661549583,0.00116321899749911,149.810581041896,0.171157822329965,0
36,93.3501443690265,0.00362746382983272,0.00118889125629367,152.258278797821,0.169454773542651,0
37,94.2367885424466,0.00360938081254805,0.0012132152314503,154.536757023757,0.167768670373905,0
38,95.13738518225,0.00359011204986639,0.00123621897336589,156.642301613392,0.166099344212003,0
39,96.0504843335465,0.00356980360834946,0.00125793247191945,158.571534094679,0.16444662812294,0
40,96.9746162565565,0.00365989044746389,0.00127883804206469,160.321424785978,0.326500635468326,0
41,97.9082941048009,0.00417274989443007,0.00130490242223196,161.88930485059,0.477237647113093,0
42,98.8500164873033,0.00513207209794268,0.00134468693157146,163.272877230799,0.66783951085535,0
43,99.7982698592945,0.0131001437761905,0.00144061823300618,164.470226444741,8.4163614324842,0
44,100.751519265279,0.04062535896592,0.00188312125228808,165.479827231714,17.8293273362155,0
45,101.70819415777,0.0855759101763019,0.00302361404538708,166.300552034045,27.1486326642912,0
46,102.666692851664,0.146306482805317,0.00515715218813642,166.931677305905,36.8286655066307,0
47,103.625388942447,0.221327156936952,0.00854181313210025,167.37288864209,46.4123804128754,0
48,104.582637402262,0.308837706020127,0.0133905730746028,167.624284722224,55.9007357625024,0
49,105.536781261668,0.40724716736925,0.0198748707687196,167.686380068438,65.2946803989536,1000
50,106.486157975844,0.515149428902483,0.0281300930326587,167.560106617124,74.595153724521,1000
51,107.429105481724,0.631301673588409,0.0382603953220146,167.246814108009,83.8030857942876,1000
52,108.36396797316,0.754605346690961,0.0503429360905295,166.748269296348,92.9193974091336,1000
53,109.289101416364,0.884089350166904,0.0644315944075733,166.066653996686,101.945000207818,1000
54,110.202878823697,1.01889520323079,0.0805602321295361,165.204561969226,110.880796758141,1000
55,111.103695300239,1.15826393869889,0.0987455547103071,164.164994662437,119.727680647204,1000
56,111.989972874454,1.30152453173274,0.118989618370496,162.951355828104,128.48653657077,1000
57,112.860165121623,1.44808368144532,0.141282025726766,161.567445027578,137.158240421729,1000
58,113.712761586383,1.59741678687959,0.165601847023921,160.017450050492,145.743659377693,1000
59,114.546292008857,1.7490599774484,0.191919299735903,158.305938269677,154.243651987713,1000
60,115.359330357182,1.90260307432528,0.220197215439243,156.437846958459,162.659068258131,1000
61,116.150498667949,2.05768337375371,0.250392319453557,154.418472598845,170.99074973759,1000
62,116.918470694926,2.21398015602261,0.282456345735119,152.253459211477,179.239529601178,1000
63,117.661975365583,2.37120983513786,0.316337006854442,149.948785740414,187.406232733757,1000
64,118.379800044229,2.5291216741787,0.351978836545645,147.510752528033,195.491675812446,1000
65,119.070793600015,2.68749400011944,0.389323920247613,144.945966917379,203.496667388291,1000
66,119.733869277709,2.84613085965796,0.428312527232243,142.261328021343,211.422007967119,1000
67,120.368007368866,3.00485906444287,0.468883656304885,139.464010699935,219.268490089593,1000
68,120.97225768087,3.16352558013965,0.510975505641289,136.561448788769,227.036898410465,1000
69,121.545741801311,3.32199521911417,0.554525876071653,133.561317623571,234.728009777039,1000
70,122.087655155157,3.48014860122534,0.599472516016249,130.47151590716,242.342593306863,1000
71,122.597268852347,3.63788035137862,0.645753415301123,127.300146966863,249.881410464634,1000
72,123.073931323589,3.79509750616504,0.693307054221342,124.055499451689,257.34521513835,1000
73,123.517069742406,3.95171810515227,0.742072613459655,120.74602751991,264.734753714699,1000
74,123.926191231766,4.10766994525649,0.791990149798359,117.380330568821,272.050765153697,1000
75,124.300883853971,4.26288947915017,0.843000741971054,113.967132559497,279.293981062584,1000
76,124.640817382857,4.41732084089162,0.895046610479671,110.515260990275,286.465125768986,1000
77,124.945743857767,4.5709149839306,0.948071214742279,107.033625573463,293.564916393351,1000
78,125.215497919192,4.723628918383,1.00201933053172,103.531196670423,300.594062920658,1000
79,125.449996926422,4.87542503600169,1.05683711030754,100.016983540694,307.553268271416,1000
80,125.649240858044,5.02627051262549,1.11247212872832,96.5000124611946,314.443228371961,1000
81,125.813311996567,5.17613677908374,1.16887341535368,92.989304771798,321.264632224043,1000
82,125.942374399003,5.32499905259022,1.22599147630009,89.4938549036552,328.018161973734,1000
83,126.03667315567,5.4728359215915,1.28377830639859,86.0226084466444,334.704492979635,1000
84,126.096533440043,5.61962897785812,1.34218739321246,82.5844403121262,341.324293880419,1000
85,126.122359352934,5.76536249033324,1.40117371410483,79.1881330468994,347.878226661693,1000
86,126.114632564805,5.91002311589441,1.46069372739862,75.8423553537979,354.366946722196,1000
87,126.073910760507,6.05359964275077,1.52070535854118,72.5556408738007,360.791102939343,1000
88,126.000825891214,6.1960827626974,1.5811679820712,69.3363672838109,367.151337734107,1000
89,125.896082238797,6.33746486888989,1.64204240008463,66.1927357634167,373.448287135269,1000
90,125.760454298362,6.47773987619216,1.70329081780753,63.132750882975,379.682580843017,1000
91,125.594784485095,6.61690306149395,1.76487681680568,60.1642009642524,385.854842291916,1000
92,125.399980672014,6.75495092169865,1.82676532629192,57.2946389636326,391.965688713255,1000
93,125.177013565635,6.89188104734993,1.88892259293179,54.5313639265474,398.015731196768,1000
94,124.926913926958,7.02769201010253,1.95131614949492,51.8814030603177,404.005574751745,1000
95,124.650769645553,7.1623832624516,2.01391478265278,49.3514944710041,409.935818367535,1000
96,124.349722674882,7.29595504831947,2.07668850018265,46.9480706081711,415.807055073439,1000
97,124.024965837344,7.42840832326195,2.13960849780131,44.6772424596588,421.619871998021,1000
98,123.677739507809,7.55974468319985,2.20264712582067,42.5447845365495,427.374850427818,1000
99,123.309328184731,7.68996630070867,2.26577785578969,40.5561206865067,433.072565865469,1000
100,122.921056958165,7.8190758680118,2.32897524726264,38.7163107715636,438.713588087265,1000
