Time,Blood glucose concentration in mg/dl,Glucose absorbed into the gut,Interstitial insulin concentration,Plasma insulin,Subcutaneous insulin concentration,Hardware basal insulin infusion
0,80,0,0,0,0,0
1,79.7323400940819,3.24045842322506e-05,2.14846812972668e-07,5.89966639104266,0.02825095661615,0
2,79.5128804414609,0.000124982396451989,1.66407088886011e-06,11.8064630821388,0.0564567242616704,0
3,79.3414811115017,0.000270739148447985,5.40618925375991e-06,17.7193053269487,0.0844624963857933,1000
4,79.2179912833595,0.000463282488636365,1.23327565707731e-05,23.6364261274431,0.112329882845343,0
5,79.1422439979516,0.00069620716442565,2.31755792520228e-05,29.5554131873265,0.140010317185425,0
6,79.1140512205802,0.00102292949152721,3.89735178094418e-05,35.4732458915263,0.19779306941699,0
7,79.1331991939247,0.00133944505274817,6.06923326836284e-05,41.3863322967212,0.195824995493029,0
8,79.1994441899507,0.00161633663473181,8.73659062306899e-05,47.2905461140389,0.193876504231805,0
9,79.3125085444114,0.00185821188593966,0.000118069522523871,53.181263661582,0.191947400782568,0
10,79.4720769642345,0.00206914076051478,0.00015199964321835,59.0534007609117,0.190037492233367,0
11,79.6777931443503,0.00225271846480452,0.000188459248416638,64.9014495487494,0.188146587591754,0
12,79.9292566921913,0.00241212102654641,0.000226844912125707,70.719515172095,0.186274497765689,0
13,80.226020357464,0.00255015435170211,0.000266635408352044,76.501352332392,0.18442103554463,0
14,80.5675875645339,0.00266929753243554,0.000307381667830676,82.2404016419313,0.18258601558081,0
15,80.9534102444871,0.00277174108021047,0.000348697926509159,87.9298257535002,0.180769254370704,0
16,81.38288696363,0.00285942067895836,0.000390253925554849,93.5625452223189,0.178970570236677,0
17,81.8553613448806,0.00293404698350898,0.000431768039113925,99.1312740575653,0.177189783308816,0
18,82.3701207781761,0.00299713192689796,0.000473001220580128,104.628554919283,0.175426715506944,0
19,82.9263954156867,0.00305001194580654,0.00051375167095643,110.046793915167,0.173681190522813,0
20,83.523357447281,0.00309386848540477,0.000553850144213678,115.37829495066,0.171953033802468,0
21,84.1601206513343,0.00312974610251095,0.000593155814543138,120.615293584927,0.170242072528799,0
22,84.8357402156156,0.00315856844858879,0.000631552639220458,125.74999034465,0.168548135604251,0
23,85.5492128226267,0.00318115238109655,0.000668946158584435,130.774583447145,0.166871053633721,0
24,86.2994769934053,0.0031982204225654,0.000705260681506362,135.681300884088,0.165210658907614,0
25,87.0854136834422,0.00321041176106391,0.000740436810791883,140.462431817128,0.163566785385074,0
26,87.9058471239994,0.00321829196300061,0.000774429268311635,145.110357236836,0.161939268677378,0
27,88.7595459017632,0.00322236154917423,0.000807204984383085,149.617579836838,0.1603279460315,0
28,89.6452242694097,0.00322306356728846,0.000838741420097479,153.976753055541,0.158732656313832,0
29,90.5615436793173,0.00322079027853042,0.000869025094967835,158.180709238617,0.157153239994073,0
30,91.5071145323218,0.00321588906202489,0.000898050295523731,162.222486876372,0.155589539129276,0
31,92.4804981330827,0.00320866762880621,0.000925817943347113,166.095356871219,0.154041397348049,0
32,93.4802088433086,0.00319939862620653,0.000952334603574991,169.792847791781,0.152508659834925,0
33,94.5047164237892,0.00318832370407532,0.000977611617129492,173.308770071584,0.150991173314876,0
34,95.5524485558837,0.00317565710587323,0.0010016643419078,176.637239111928,0.149488786037985,0
35,96.6217935295622,0.00327221305460339,0.0010249547655125,179.772697250278,0.316947460067416,0
36,97.7111029331987,0.00396498090690448,0.00105493356611613,182.709934557396,0.547585010349255,0
37,98.8186942892758,0.0051666186201448,0.00110231837075927,185.444108428527,0.902240061182036,0
38,99.9428533840632,0.0167390787675687,0.00124009481584719,187.970761936094,10.3272195514247,0
39,101.081828215512,0.0475356893629265,0.00179218665353767,190.285840913639,19.7234337211822,0
40,102.233823841906,0.095834444843071,0.00310548617939719,192.385709743196,29.0238923758308,0
41,103.397007226205,0.158503378976749,0.00545653175204596,194.267165820724,38.234071542648,0
42,104.569513569819,0.234223094047216,0.00907568286153079,195.927452676973,47.3526078955555,0
43,105.7494514158,0.322337723396372,0.0141624451411417,197.364271733698,56.8316078254162,1000
44,106.934907470569,0.421267062284249,0.0208864083085988,198.575792678066,66.2162901300832,1000
45,108.123951935412,0.529614738584627,0.0293813412305149,199.560662440863,75.5075932856075,1000
